date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-12 10:48:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.9500,26149.9000,26050,2025-12-02 15:15:00,16.4815,c,1
2025-11-12 10:49:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.9500,26154.2000,26050,2025-12-02 15:15:00,16.3851,c,1
2025-11-12 10:50:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.9500,26147.1000,26050,2025-12-02 15:15:00,16.5449,c,1
2025-11-12 10:51:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.3000,26150.0000,26050,2025-12-02 15:15:00,16.4533,c,1
2025-11-12 10:52:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.3000,26149.0000,26050,2025-12-02 15:15:00,16.4760,c,1
2025-11-12 10:53:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.3000,26150.0000,26050,2025-12-02 15:15:00,16.4539,c,1
2025-11-12 10:54:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.3000,26148.3000,26050,2025-12-02 15:15:00,16.4923,c,1
2025-11-12 10:55:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.3000,26150.0000,26050,2025-12-02 15:15:00,16.4544,c,1
2025-11-12 10:56:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.3000,26149.9000,26050,2025-12-02 15:15:00,16.4570,c,1
2025-11-12 10:57:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.2000,26147.3000,26050,2025-12-02 15:15:00,16.5114,c,1
2025-11-12 10:58:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,450.3000,26144.3000,26050,2025-12-02 15:15:00,16.5005,c,1
2025-11-12 10:59:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,450.3000,26137.4000,26050,2025-12-02 15:15:00,16.6545,c,1
2025-11-12 11:00:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26140.0000,26050,2025-12-02 15:15:00,16.4608,c,1
2025-11-12 11:01:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26139.3000,26050,2025-12-02 15:15:00,16.4767,c,1
2025-11-12 11:02:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26145.0000,26050,2025-12-02 15:15:00,16.3497,c,1
2025-11-12 11:03:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26136.4000,26050,2025-12-02 15:15:00,16.5418,c,1
2025-11-12 11:04:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26141.0000,26050,2025-12-02 15:15:00,16.4397,c,1
2025-11-12 11:05:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26145.0000,26050,2025-12-02 15:15:00,16.3506,c,1
2025-11-12 11:06:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26145.0000,26050,2025-12-02 15:15:00,16.3508,c,1
2025-11-12 11:07:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26142.8000,26050,2025-12-02 15:15:00,16.4003,c,1
2025-11-12 11:08:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26151.5000,26050,2025-12-02 15:15:00,16.2055,c,1
2025-11-12 11:09:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26154.3000,26050,2025-12-02 15:15:00,16.1426,c,1
2025-11-12 11:10:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26150.0000,26050,2025-12-02 15:15:00,16.2398,c,1
2025-11-12 11:11:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,447.0000,26147.0000,26050,2025-12-02 15:15:00,16.3074,c,1
